Population;Intervention_1;Intervention_2;Not
machine learning;measure;energy;wind
deep learning;measuring;power;building
computing;estimate;environmental impact;buildings
information and communications technology;estimation;carbon footprint;vehicles
ICT;consumed;carbon emissions;homes
artificial intelligence;consumption;carbon impact;ships
AI;predict;;solar
natural language processing;prediction;;photovoltaic
NLP;predicting;;
neural network;track;;
neural networks;tracking;;
CNN;report;;
DNN;reports;;
computation;reporting;;
computations;account;;
software;quantify;;
process;quantifying;;
processes;monitor;;
server;monitoring;;
virtual machine;evaluate;;
federated learning;evaluating;;
distributed learning;;;
